,VAR,RMS,IEMG,MAV,LOG,WL,ACC,DASDV,ZC,WAMP,MYOP,FR,MNP,TP,MNF,MDF,PKF,WENT
0,363219.1850180508,602.6766874116968,2156251.6186618237,383.3336210954353,9.736994304448423,369468.97243211535,65.68337287682051,128.35274745206084,307.0,84.0,0.128,inf,249463.72973643168,1021553973.2706877,2.5172687998261525,1.2359619140625,0.6103515625,1.0378327922668633
1,199655.91347797276,446.8659233032596,1564109.7115498227,278.0639487199685,8.31878754498587,305986.0382520708,54.39751791147925,105.75151216013009,399.0,52.0,0.0864,inf,137164.81291121236,561689908.8714147,2.8374441190136768,1.77001953125,0.5950927734375,1.097978754814316
2,16698.413585365866,129.22240443511387,446300.77815557114,79.34236056099043,5.003605398756765,144606.0687801406,25.707745560913885,39.47203384783396,729.0,1.0,0.008177777777777779,inf,11468.709374597442,46964364.88897652,2.9911311007858212,1.2359619140625,0.5950927734375,1.062353345632362
3,21552.303812957387,146.8072288050595,553069.7414871356,98.323509597713,5.621217622211597,152824.33994943238,27.168771546565758,39.43107083746683,630.0,0.0,0.009244444444444444,inf,14802.474064523161,60616131.29422235,2.739297139260185,1.220703125,1.1444091796875,0.9778893076324447
4,10700.362214265615,103.44906806335707,366161.74101128464,65.09542062422838,4.63374705546036,119878.12907883248,21.31166739179244,30.226358411794422,752.0,0.0,0.003022222222222222,inf,7350.7106525908775,30101160.122359645,3.2395012732122392,1.46484375,0.5950927734375,1.171398852330684
5,207415.59169123552,455.4291832822384,1031135.4840008573,183.31297493348575,5.460834429088004,274373.6495683648,48.777537701042625,279.2491680783449,758.0,46.0,0.06062222222222222,inf,142455.93641486723,583357059.6188813,6.897939713377736,2.9754638671875,0.6103515625,1.860571012380744
6,207228.51420118925,455.2237410583671,1038447.525243893,184.61289337669209,5.514879008841046,281155.6044910558,49.9832185761877,279.9388362569625,811.0,49.0,0.058666666666666666,inf,142327.42900191495,582830821.7628417,6.896171121139596,2.9296875,0.6103515625,1.7891875843009644
7,2247.539730361156,47.408356847357815,189290.34382588998,33.65161668015822,3.691507429256405,118288.7770395029,21.029115918133847,29.768344165730273,1191.0,0.0,0.0,inf,1543.6543331439552,6321264.494224497,8.780090966216752,5.401611328125,1.2664794921875,2.1085328334833564
8,1993.6690580148756,44.65052426058549,181655.3202367121,32.294279153193266,3.644110759953055,108310.38038828867,19.255178735695765,24.644303164801663,1156.0,0.0,0.0,inf,1369.278490423703,5607195.4182850635,7.6179870925173985,4.119873046875,25.1007080078125,2.0562629299917288
9,4117.874721945258,64.17110239979662,262752.2859316232,46.71151749895523,4.284234405708587,119604.79861596663,21.26307530950518,27.996028440179266,871.0,0.0,0.0,inf,2828.274755138985,11581785.122294143,5.431460142580804,2.838134765625,1.220703125,1.7212201969818894
10,3590.1599237576065,59.918122102867784,239447.32466088218,42.56841327304572,4.058877071484593,115956.59430656809,20.614505654500995,27.375621365095125,927.0,0.0,0.0,inf,2465.7939469029193,10097426.212567454,5.708462991344056,2.838134765625,1.2969970703125,1.7531607345524327
11,1770.811403905311,42.081023307885935,171458.0407072899,30.481429459073762,3.5488368011012064,101459.13822545209,18.03718012896926,23.256283803675537,1100.0,0.0,0.0,inf,1216.2178856790965,4980412.241855901,7.865533988465098,4.913330078125,1.251220703125,2.0532121993959964
12,5613.022644998578,74.92018850052649,272457.7710017375,48.43693706697556,4.16261180329006,118811.97833235364,21.122129481307315,28.394161398457864,912.0,0.0,0.0008888888888888889,inf,3855.111816290871,15786682.887711117,4.338579964413769,1.800537109375,0.640869140625,1.457310842818614
13,7613.408447666291,87.25488511342398,330573.69042354485,58.76865607529686,4.524124348031767,127523.25045137017,22.670800080243588,30.75176240792967,831.0,0.0,0.0008888888888888889,inf,5228.9968554089455,21412742.122899633,3.8630644428266137,1.5106201171875,0.6103515625,1.3270468157548148
14,2465.0291124141822,49.650809669626156,189261.36065178103,33.646464115872185,3.5899034283116906,99519.52329087903,17.692359696156274,23.585249886586887,1082.0,0.0,0.0,inf,1693.2151396645168,6933715.996926196,5.975673234011616,3.1585693359375,0.640869140625,1.7070870268681975
15,2871.95308399109,53.590909276935356,215149.5519569279,38.24880923678718,3.8337849627859875,112280.16781722452,19.960918723062136,27.170833293200502,1050.0,0.0,0.0,inf,1972.5328665989034,8077522.088722509,6.3825801419884245,3.2196044921875,0.732421875,1.8548208695622568
16,2571.764638454691,50.712572394842596,201313.3357359518,35.78903746416921,3.7457364195419784,100005.88322114623,17.77882368375933,24.558678181202215,952.0,0.0,0.0,inf,1766.3222805711166,7233089.738938723,6.0757011033946196,3.1890869140625,1.2054443359375,1.8532646332671683
17,1260.1671929623699,35.498846642753286,140498.43107609652,24.977498857972716,3.234881642323794,77519.88664525218,13.781313181378165,18.916459125192873,997.0,0.0,0.0,inf,865.5003190061811,3544223.8063303116,7.959974815707051,5.3558349609375,1.220703125,2.091426091473811
18,1577.8472111757437,39.72212800379164,157498.59160756512,27.99974961912269,3.4190614240372503,94518.39722479258,16.803270617740903,23.569826374901652,1122.0,0.0,0.0,inf,1083.686542645287,4437696.392132451,8.502773488848707,5.859375,1.220703125,2.1578735697033613
19,1797.475839872073,42.396679411296745,168379.5401807651,29.93414047658046,3.4907405015535673,100906.07292102555,17.93885740818232,25.230744976008502,1165.0,0.0,0.0,inf,1234.5330952581787,5055413.025082242,8.491577241069708,5.9356689453125,1.2359619140625,2.169051690899983
20,1634.2834630406228,40.426283783580885,164877.01074561366,29.311468576997985,3.492915229223369,95472.4966876051,16.972888300018685,22.758943640937428,1097.0,0.0,0.0,inf,1122.448510421948,4596426.650177876,8.041669781148487,5.462646484375,1.1749267578125,2.1108959061344286
21,1486.5164946591854,38.5554195866117,155310.69731782255,27.610790634279564,3.3992273773510595,98595.79558472018,17.528141437283587,23.90484982652813,1184.0,0.0,0.0,inf,1020.9636070243366,4180845.9707646584,9.03851967706831,6.9427490234375,1.190185546875,2.1906259185592143
22,1915.4959257715582,43.766430858642536,175846.28458605573,31.261561704187685,3.570537433441828,107415.44619353715,19.096079323295495,25.40487376596869,1175.0,0.0,0.0,inf,1315.5931242279423,5387353.843713424,8.0607234044535,4.9896240234375,1.220703125,2.0859978328592588
23,2235.2697255883463,47.27864506337727,190440.33532916257,33.856059614073345,3.7167381130365533,104722.77454089058,18.617382140602768,24.485824438768446,1020.0,0.0,0.0,inf,1535.213361714511,6286698.716220922,6.806343050027624,3.9520263671875,1.190185546875,1.951614954194864
24,1700.7229507960603,41.240810652076604,167135.90298744044,29.71304941998941,3.5037912960338837,106554.33360041116,18.942992640073097,24.677592621877857,1220.0,0.0,0.0,inf,1168.1733636388756,4783669.924101195,8.711820373836657,6.011962890625,1.1749267578125,2.1294597466256646
25,1643.4812819730473,40.53988541807931,162954.49539199215,28.969688069687493,3.4764955013284284,108255.0447891163,19.2453412958429,25.132419337591198,1289.0,0.0,0.0,inf,1128.765789877556,4622295.909548592,9.381240361207055,7.14111328125,24.9786376953125,2.1980407611767534
26,1763.6023341285927,41.99527300708211,171229.1692913704,30.440741207354737,3.5637801612747673,111177.01403924235,19.764802495865307,26.263228667016733,1221.0,0.0,0.0,inf,1211.2660544748846,4960134.493074653,9.055717819715433,6.500244140625,1.2054443359375,2.1648493446768535
27,40521.783023138414,201.3003579256662,462236.92600444815,82.17545351190189,4.384389783112574,143498.7409268621,25.5108872758866,43.03416484812362,991.0,8.0,0.016355555555555557,inf,27830.954090681873,113967757.00134227,2.277452730949649,1.007080078125,0.67138671875,0.9679038189578332
28,46798.229265615315,216.3292971451983,616730.8089509308,109.6410327023877,5.455301642802797,174561.7638413914,31.033202460691804,48.71169402402299,750.0,8.0,0.01671111111111111,inf,32141.79797883761,131620662.72334002,2.3276990694642703,1.03759765625,0.6866455078125,0.7401375460756457
29,6916.811290515865,83.16783575688859,289368.4303494712,51.44327650657266,4.219680583279387,129810.01464227858,23.07733593640508,30.73906242237178,1000.0,0.0,0.00035555555555555557,inf,4750.647083870357,19453899.808449112,3.8864360303616374,1.3275146484375,1.312255859375,1.2721354707956534
30,88047.43443353251,296.7279615498191,913607.292730925,162.41907426327555,5.819870777177574,238556.7028121571,42.41008049993904,72.36373378082394,794.0,9.0,0.04942222222222222,inf,60472.194927465316,247633638.22797048,2.590222718072385,1.2359619140625,0.8544921875,0.9891420529794155
31,49730.972967965296,223.00573055681448,737300.9006947209,131.0757156790615,5.609873811370167,181606.21020076712,32.28554848013638,57.378594820368434,630.0,4.0,0.029866666666666666,inf,34156.56325319633,139871126.52183896,2.8137874044427327,1.2664794921875,0.823974609375,1.1612820579249314
32,10634.250760031517,103.12266867999526,362166.77000455686,64.38520355636567,4.622031895964446,144050.5298899365,25.608983091544268,39.78261980729273,804.0,0.0,0.0028444444444444446,inf,7303.783070295017,29908991.672858093,4.081263935613884,1.7852783203125,1.1444091796875,1.4587077108769941
33,4535.39511978229,67.34536533400758,258829.58932320884,46.0141492130149,4.152215423985292,108582.71439703231,19.30359367058352,26.78079916601469,837.0,0.0,0.0,inf,3114.97275789069,12755813.443562375,4.751888159867679,2.3040771484375,0.5340576171875,1.5813055994020413
34,5845.00128749038,76.45321596330827,286360.2588890829,50.90849046917029,4.242008729026152,110362.32375914505,19.61996866829245,26.506276470524085,872.0,0.0,0.0,inf,4014.531609563911,16439506.941164216,3.790035235071529,1.3580322265625,0.5645751953125,1.3099799656733955
35,3711.4297568187203,60.9228825632571,236931.2592774516,42.12111276043584,4.003901321606634,118557.29676987251,21.076852759088446,28.069799079636475,1054.0,0.0,0.0,inf,2549.2533192621695,10439192.342378585,5.266000305946226,1.7547607421875,0.6561279296875,1.6290619873044796
36,3865.6896633453534,62.17469767091853,240986.82771402007,42.84210270471468,4.03376188329872,117186.6038461798,20.83317401709863,27.91894133911756,980.0,0.0,0.0,inf,2655.010494207781,10872267.973780863,5.1081406485133645,1.4801025390625,1.2359619140625,1.640367370868358
37,8977.04446330334,94.74747805771659,325759.5069178539,57.912801229840696,4.3065281173717755,118242.5106857814,21.02089078858336,29.483365891433085,937.0,0.0,0.0012444444444444445,inf,6165.598959430926,25248127.73886964,3.414659951150709,1.3275146484375,0.8544921875,1.215708398842854
38,7541.909008038228,86.84418766155189,304048.74940573407,54.05311100546383,4.2342773957274265,105379.16485527891,18.734073752049586,25.845576214774702,868.0,0.0,0.0,inf,5179.886609063606,21211635.664115466,3.1373093084569263,1.251220703125,0.5950927734375,1.0329414135720738
39,6822.249088403329,82.59735665019677,307366.4532834636,54.642925028171305,4.335845154041554,107400.28496976999,19.093383994625775,26.902416522659642,821.0,0.0,0.0,inf,4685.696489186211,19187927.123217534,3.446638026662786,1.3275146484375,0.579833984375,1.2707561804991157
40,9438.599869173722,97.15251200129927,363538.12963114074,64.6290008233139,4.694670769152961,124921.9284704981,22.208342839199663,30.725437918111655,788.0,0.0,0.0014222222222222223,inf,6482.567250991387,26546112.892809726,3.367102433167743,1.5716552734375,0.5645751953125,1.2095671760610367
41,4256.615047352,65.24343422141948,234730.5687201834,41.72987888358816,3.905385256445108,109327.87489533727,19.43606664805996,25.91204119593915,1026.0,0.0,0.0,inf,2923.60425452973,11972159.422299245,4.652572072850129,1.52587890625,1.251220703125,1.531599382240906
42,8837.061465103447,94.00568883448335,351421.7876925956,62.474984478683666,4.5596811116516625,122213.38455315112,21.7268239205602,29.274469304753243,848.0,0.0,0.0,inf,6069.419524510363,24854272.952869937,3.3183917815363104,1.2359619140625,1.2359619140625,1.131477902929376
43,2896.7269214541157,53.84115812143502,216549.27755129448,38.497649342452355,3.8802044157351916,113177.99045141359,20.12053163580686,26.30172479582467,1076.0,0.0,0.0,inf,1991.993042728458,8157211.509973035,6.2461452481594,3.4942626953125,1.2054443359375,1.855899559783435
44,9617.839733580635,98.07058569133193,369989.8764662377,65.77597803844226,4.764751618430465,130042.16544114424,23.118607189536753,32.535026581354295,765.0,0.0,0.0028444444444444446,inf,6605.658872863473,27050173.08437592,3.5331052315397917,1.5869140625,0.6256103515625,1.3030827727312357
45,5016.544561974139,70.83700378801625,266682.4897624946,47.410220402221256,4.111166395414542,108145.24768249661,19.22582181022162,24.945332761860765,904.0,0.0,0.0,inf,3446.976954660865,14115370.629336242,3.6923366616593456,1.2054443359375,0.6256103515625,1.2396783578199664
46,4682.712041809749,68.4303768615842,243897.07006484765,43.359479122639584,3.8887765275649833,107493.96030920529,19.110037388303162,24.9777612597046,1033.0,0.0,0.0,inf,3216.153510527212,13170148.625608932,3.913381039995699,1.190185546875,0.6103515625,1.3190356325315205
47,3661.0498861880887,60.50661416391351,222871.61970689197,39.62162128122524,3.79094663908726,104180.2146094894,18.520927041687003,24.10755741876853,1064.0,0.0,0.0,inf,2514.457753936987,10296704.502371961,4.655818752049148,1.312255859375,1.220703125,1.4844478989959864
48,3624.5580397935105,60.20475605007135,223320.7127722525,39.70146004840044,3.812407675994265,102603.178756973,18.240565112350755,23.598176948251986,1061.0,0.0,0.0,inf,2489.457360330174,10194327.890552063,4.5211405596204,1.251220703125,0.640869140625,1.4694366396469631
49,1918.6339174781772,43.802981108239464,178700.9534803499,31.76905839650665,3.62614868060343,102338.20844928722,18.193459279873284,23.853228501206743,1122.0,0.0,0.0,inf,1317.8209623782984,5396476.840939132,7.423466581101191,4.5318603515625,1.190185546875,2.0023598358289108
50,2553.7953216389674,50.53509082870934,209004.33621196565,37.156326437682786,3.895070085612094,102164.27282377976,18.16253739089418,24.183316290344482,925.0,0.0,0.0,inf,1753.9803793498922,7182549.653437809,6.047697488246949,2.685546875,0.7781982421875,1.8284104812201967
51,4835.874628515258,69.5406304763841,269327.37755722436,47.880422676839885,4.249829649773192,119493.47126673459,21.243283780752815,29.10635493738984,889.0,0.0,0.0,inf,3321.3710022157625,13601014.254073547,4.65717336952226,1.64794921875,0.6256103515625,1.5333022642052252
52,11111.720783458353,105.41376213169909,417068.2404441154,74.14546496784274,5.0949636588081235,159228.2328631689,28.307241397896693,40.0388505323762,786.0,0.0,0.0,inf,7632.070706917317,31253329.54482641,3.817087617143666,1.495361328125,0.701904296875,1.2844323141753624
53,6465.002325495287,80.40822489263186,325449.42361001874,57.857675308447774,4.6462261928163,150105.5043750117,26.68542300000208,36.88350134093478,924.0,0.0,0.0008888888888888889,inf,4440.804845379071,18185095.841827296,5.126512589660826,1.8463134765625,1.2054443359375,1.605674043600532
54,5845.1788158521895,76.45470668527182,300795.226543117,53.47470694099858,4.462897490506376,130777.66760774727,23.24936313026618,32.63707291658595,855.0,0.0,0.0008888888888888889,inf,4014.7119357799284,16440245.377018807,4.837072703788606,1.9073486328125,0.8697509765625,1.6386879292821508
55,53685.61968750936,231.70173474424652,461348.6380424745,82.01753565199547,4.140127016513576,164295.56596650282,29.208100616267167,64.99142420823003,1141.0,11.0,0.017244444444444444,inf,36872.076567134405,150991153.54241538,3.0313410676404913,1.220703125,1.0833740234375,1.0988952796089597
56,57486.73071022212,239.76392972394032,539586.890759754,95.9265583572896,4.666789780567355,179915.69656621636,31.985012722882907,65.82872339231183,1000.0,11.0,0.018844444444444445,inf,39482.65778606674,161681483.6339433,3.0161358160393585,1.373291015625,0.67138671875,1.210996870275117
57,4296.788058509447,65.54989592855489,255128.4855021005,45.35617520037342,4.145623943371808,133763.63237429044,23.780201310984967,31.158209896199416,1070.0,0.0,0.0,inf,2951.0915797440475,12084720.019051874,5.469416694746248,1.556396484375,1.15966796875,1.6452498117007879
