VAR,RMS,IEMG,MAV,LOG,WL,ACC,DASDV,ZC,WAMP,MYOP,FR,MNP,TP,MNF,MDF,PKF,WENT
34740.088632358864,186.38733532934853,369336.7936963858,98.48981165236955,5.106245883163744,77428.24841872486,20.64753291165996,45.49801609803854,360.0,0.0,0.0,inf,31821.301236916053,65138203.631967165,2.493266275275272,1.15966796875,0.6103515625,1.0200646698738651
23107.78163269933,152.01314472188236,426508.6350480062,113.73563601280163,6.390946881863717,94647.95285191468,25.239454093843914,35.29564808043066,275.0,0.0,0.0,inf,21166.51587480469,43327857.99572521,2.599758081841965,1.495361328125,0.6103515625,0.9480637692043664
198042.75031922423,445.0222314987083,1022258.1736278278,272.6021796340874,8.172115910898082,188803.19564729408,50.34751883927842,101.49031432046876,248.0,0.0,0.0,inf,181405.7005846416,371337469.0967613,2.5232135121684944,1.190185546875,0.6103515625,0.8993764716647557
100098.69600973772,316.38660554125624,612198.9168583945,163.25304449557186,6.042315103971501,152437.67519016727,40.65004671737794,79.47086446519043,398.0,0.0,0.0,inf,91691.00005476232,187691477.1120985,3.047849688351003,1.52587890625,0.67138671875,1.2886391251644815
12106.146590935588,110.02833520585747,239791.491150318,63.9443976400848,4.689779991120631,73291.29576966619,19.54434553857765,33.17710832044443,378.0,0.0,0.0,inf,11089.076964795926,22699340.54693726,3.718109673724081,2.227783203125,1.15966796875,1.4233789562261356
19243.28356215063,138.7203348621189,349993.7124969135,93.3316566658436,5.607191023933646,90795.0209232742,24.212005579539785,38.33212008819947,309.0,0.0,0.0,inf,17626.44213866053,36081327.05783811,3.2481523668015067,1.52587890625,0.67138671875,1.3083109703762594
8588.961942134121,92.67676556989294,221889.48405217764,59.1705290805807,4.674033320043864,76287.02777788251,20.343207407435337,34.57079133676868,370.0,0.0,0.0,inf,7867.307227982785,16104377.89568076,4.930218669061823,3.60107421875,0.640869140625,1.7399555653212344
3010.338123251646,54.88481591890796,150548.50510754786,40.14626802867943,4.004127982218303,58193.20208095557,15.518187221588152,24.19016861205625,483.0,0.0,0.0,inf,2760.9108701321425,5651584.551160496,5.341036641731138,2.62451171875,0.762939453125,1.7070880970514128
8891.297930731382,94.29533313003532,254482.64165563104,67.86203777483495,4.940234334182941,71182.92704469376,18.982113878585004,28.329657263279596,379.0,0.0,0.0,inf,8144.750046898122,16672303.346000455,3.1156485357160144,1.5869140625,0.79345703125,1.1585248251314275
9353.766654652338,96.71522540934868,273547.3070493022,72.9459485464806,5.203379871036458,66268.68108820588,17.671648290188234,24.78427516821562,310.0,0.0,0.0,inf,8567.93021331629,17538553.146658443,2.870461530053323,1.434326171875,0.8544921875,1.0051500549866403
8115.2218399776675,90.09001205795452,227370.14073204057,60.63203752854415,4.752155435427769,68110.67423826348,18.16284646353693,26.416801850483104,404.0,0.0,0.0,inf,7435.071316848411,15219590.985588698,3.784746635461396,2.471923828125,0.79345703125,1.4810469603687315
11419.917279062856,106.8761205338221,276414.5740210137,73.71055307227032,5.1640615946345205,71745.59858537391,19.132159622766377,27.58813761556508,325.0,0.0,0.0,inf,10464.891751946703,21421633.416234903,3.347982149840628,2.166748046875,1.220703125,1.42285764772263
