,EAR_mean,EAR_std,blinking_rate,blink_duration,MAR_mean,MAR_std,PUC_mean,PUC_std,MOE_mean,MOE_std,vtilt_mean,vtilt_std,htilt_mean,htilt_std
0,0.2721242773594991,0.03455547363339477,1.3333333333333333,5.366666666666666,0.2547822227615306,0.008813134775459324,0.6238049330786541,0.03374943315025986,0.9782056568261464,0.3545298702292981,-0.04420424853830973,0.0032551464238893754,-0.018512194348430145,0.0022736607454774435
1,0.28517984809870456,0.020071738123740503,0.0,0.0,0.2354502606670923,0.011071172666824947,0.6500982788991371,0.023830598076037254,0.8322156647333038,0.09870502465314601,-0.04840787573200129,0.0036062716033591537,-0.017857720565602687,0.002703637123291017
2,0.29070541582150294,0.011646871898590663,0.0,0.0,0.2353911558058751,0.009687498138287716,0.6489312410814414,0.030829630724195773,0.8118787804743156,0.059806228008330464,-0.04628867490975941,0.005557990798823072,-0.018275478652643888,0.002750473254615435
3,0.29738284990839503,0.012944667266961519,0.0,0.0,0.2194518354889736,0.04268862776133091,0.6694609768486269,0.034341429130705044,0.7420763719306501,0.15491031592586618,-0.04989729971935347,0.00657024861165887,-0.017181767748185833,0.0030404217340105587
4,0.29753614733754946,0.011583962575996616,0.0,0.0,0.2198600658997562,0.03534548808971113,0.6815269287419343,0.025827539123280594,0.7418726796296738,0.12794535057557319,-0.053512832315431656,0.004821097476436567,-0.01688880878466142,0.0016210258277200283
5,0.29361060361406804,0.009377866854342883,0.0,0.0,0.2276915812600017,0.009917396951123942,0.675282908613587,0.02134110992450396,0.7763101529263036,0.04236259370113091,-0.053653105943705155,0.003540934019336872,-0.018836555276755887,0.001381360129756266
6,0.3006059970127467,0.009294161907952679,0.0,0.0,0.22960389109501436,0.005699355873632422,0.6869418475897757,0.02217829403867351,0.764939464906866,0.03936617001700498,-0.05291676262186629,0.003085805936686165,-0.018811039168525577,0.00245624901438745
7,0.283370949892596,0.0474802428143117,1.3333333333333333,4.133333333333334,0.225575724730134,0.010400291970582426,0.6635580115039854,0.04250291875326983,0.8368032849934831,0.2456012710762029,-0.05074153456836935,0.003256274099230363,-0.018043533316640895,0.0017827792047962585
8,0.28023795720402306,0.04580968065123792,1.3333333333333333,4.166666666666667,0.22040194943081576,0.008331209930136427,0.6628747590652783,0.036624538758105736,0.8264030296336009,0.24603786781797737,-0.049886444900874696,0.0017631074568209342,-0.017893318871932955,0.001537885805163928
9,0.29237259488373707,0.004379126566752087,0.0,0.0,0.22195699618063836,0.004404923318262406,0.6641334316767256,0.010639127178321751,0.7595077110184728,0.02510402116931621,-0.048262924924492794,0.001067989411131838,-0.020172628677553553,0.0014977317003510057
