,mean_nni,cvnni,cvsd,max_hr,mean_hr,median_nni,min_hr,nni_20,nni_50,pnni_20,pnni_50,range_nni,rmssd,fuzzy,sdnn,sdsd,std_hr,lf,hf,lf_hf_ratio,lfnu,total_power,vlf,csi,cvi
0,566.8571428571429,0.29031800339305985,0.27995532454464034,128.2051282051282,112.71315958815957,468.0,67.56756756756756,4.0,4.0,30.76923076923077,30.76923076923077,420.0,158.694675399019,164.56883392338023,158.694675399019,24.609806836348238,7391.469041639242,11397.305805781969,0.6485277457317566,39.33981380725168,60.6601861927483,19050.68821289623,261.91336547502056,1.723575273671133,5.575407059023173
1,470.2,0.26666161949084877,0.2592823300976722,142.85714285714286,133.44115406005903,420.0,70.75471698113208,3.0,3.0,15.789473684210526,15.789473684210526,428.0,121.91455161192548,125.3842934845971,121.91455161192548,22.560183568714944,4761.969577094994,3884.7197594300733,1.225820618214587,55.07274971681514,44.92725028318486,9062.840120076256,416.15078355119033,1.7344288189102508,5.337838655333866
2,394.4347826086956,0.12687384982308783,0.18345928373779266,156.25,153.6371237458194,384.0,96.15384615384616,2.0,2.0,9.090909090909092,9.090909090909092,240.0,72.36272269866326,50.04345937369794,72.36272269866326,12.255475961077103,121.08629428572686,32.55496143756449,3.7194421046374804,78.81105482748974,21.18894517251026,201.39350200069617,47.752246277404815,0.9088932591463857,4.600836053812835
3,392.0,0.0,0.0,153.0612244897959,153.06122448979588,392.0,153.0612244897959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-14,0.0,0.0,,,,0.0,0.0,,-inf
4,352.0,0.0,0.0,170.45454545454547,170.4545454545454,352.0,170.45454545454547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0,0.0,,,,0.0,0.0,,-inf
5,817.4545454545455,0.08167658339696746,0.07491210845922754,89.28571428571429,73.89513458473436,816.0,62.5,25.0,12.0,78.125,37.5,288.0,61.237243569579455,66.76689435504831,61.232650604069065,6.215219112310098,1592.7067015422049,564.1177569458041,2.8233585664193503,73.84498517133538,26.15501482866462,2391.7900710897366,234.96561260172783,1.899237527717406,4.769423673222877
6,787.1304347826087,0.09068476194753054,0.09692939141584984,89.28571428571429,76.80388860151702,760.0,64.65517241379311,14.0,8.0,63.63636363636363,36.36363636363637,256.0,76.29607400837155,71.38073609991709,76.28827450169705,6.544603138591198,2555.0259918408406,1416.859144716783,1.8033027498661953,64.32779156487001,35.672208435129996,4469.168100427757,497.2829638701339,1.5306023639425639,4.873071336973977
7,360.0,0.0,0.0,166.66666666666666,166.66666666666666,360.0,166.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,-inf
8,757.6774193548387,0.060482254518269066,0.07418610066377986,88.23529411764706,79.45046040557146,752.0,65.21739130434783,21.0,5.0,70.0,16.666666666666668,240.0,56.209133302931,45.82603852016464,56.19331711946616,4.410463725504295,741.4217837800377,534.1949763769032,1.3879235420906033,58.12261228747258,41.87738771252742,1434.6632377794804,159.0464776225395,1.2536078165541356,4.515344274156773
9,737.0,0.05207612262107264,0.06642900723776375,89.28571428571429,81.62644570817747,720.0,75.0,21.0,7.0,67.74193548387096,22.580645161290324,128.0,48.95817833423188,38.38010237173054,48.924839891170734,4.205832671745881,433.49178810021976,569.5445220424019,0.761120107951713,43.21795569280853,56.78204430719147,1032.5261872836625,29.48987714104072,1.1756578056324798,4.366670183918459
10,525.0526315789474,0.3119348186361066,0.23110189687956764,153.0612244897959,124.4858423788033,392.0,75.75757575757575,8.0,5.0,44.44444444444444,27.77777777777778,400.0,121.34065911950353,163.78219740598945,120.74583038579657,33.758462552159465,12665.612871009138,9488.864507354398,1.3347869875465694,57.16954029066199,42.83045970933801,23401.585721908566,1247.1083435450305,2.4393957105125175,5.478940111638586
11,364.0,0.0,0.0,164.83516483516485,164.83516483516482,364.0,164.83516483516485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-14,0.0,0.0,,,,0.0,0.0,,-inf
12,384.0,0.0,0.0,156.25,156.25,384.0,156.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,-inf
13,352.0,0.0,0.0,170.45454545454547,170.45454545454547,352.0,170.45454545454547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,-inf
14,495.6521739130435,0.3298638545938359,0.1159309946610397,153.0612244897959,131.56703111107998,392.0,72.81553398058253,5.0,5.0,22.727272727272727,22.727272727272727,432.0,57.46144952764577,163.49773662477082,55.29305846170554,32.71312671890597,15178.521880122775,4800.359503725816,3.161955238632005,75.97283145388438,24.02716854611561,21144.770088663776,1165.8887048151848,5.690697516659847,5.163800100857973
15,557.5757575757576,0.27198226079844967,0.16009242368389262,136.36363636363637,114.81459142155481,440.0,74.25742574257426,9.0,7.0,28.125,21.875,368.0,89.26365441768559,151.65071511186287,88.70174744614674,26.98928520270031,9500.751242529994,3536.874043430272,2.6862000528906584,72.87179247865791,27.128207521342095,14816.372932204406,1778.747646244139,3.213489440037057,5.319719499822961
16,389.16129032258067,0.1882997231461082,0.27069790761953694,159.5744680851064,156.89563402574484,376.0,76.53061224489795,2.0,2.0,6.666666666666667,6.666666666666667,408.0,105.34514701684174,73.27896322692418,105.34514701684174,14.672578421254608,223.01708298618908,33.826403192742006,6.592988374065173,86.8299548117889,13.170045188211121,410.2715031108566,153.42801693192547,0.9332565252573835,4.933043346099086
17,592.8,0.3397118117631847,0.1467407395020432,137.61467889908258,111.8434468843546,436.0,65.21739130434783,11.0,7.0,37.93103448275862,24.137931034482758,484.0,86.9879103768112,201.38116201321589,86.03690826516707,31.9580650818593,26377.123988110186,3231.055026494981,8.163625741999153,89.08728893829924,10.91271106170076,34062.675988304894,4454.496973699728,4.489839416178269,5.439930353093586
18,752.5925925925926,0.07197049858933618,0.0867845977653101,94.9367088607595,80.13427390250175,752.0,68.80733944954129,19.0,7.0,73.07692307692308,26.923076923076923,240.0,65.31344542930005,54.164464123530045,65.22568920712436,5.830652279229891,125.6717276186313,576.4038962633316,0.21802720008196794,17.900027197035968,82.09997280296403,704.3963131211226,2.3206892391597154,1.2854076601513538,4.6580015635078675
19,360.0,0.0,0.0,166.66666666666666,166.66666666666666,360.0,166.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,-inf
20,809.939393939394,0.08186199164180033,0.07783257676020024,88.23529411764706,74.55517011622628,800.0,59.523809523809526,19.0,11.0,59.375,34.375,328.0,63.03967004989794,66.3032518970315,63.03917432834919,5.946112848554451,927.0690645353984,1707.4853360193808,0.5429440856556063,35.18883741175275,64.81116258824726,2933.30657408781,298.75217353303077,1.812918303882485,4.774477537735051
21,320.0,0.0,0.0,187.5,187.5,320.0,187.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,-inf
22,356.0,0.0,0.0,168.53932584269663,168.53932584269663,356.0,168.53932584269663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,-inf
