VAR,RMS,IEMG,MAV,LOG,WL,ACC,DASDV,ZC,WAMP,MYOP,FR,MNP,TP,MNF,MDF,PKF,WENT
550554.4375905052,741.9936038002983,1250488.39937707,333.4635731672186,7.532413751888581,215579.0402141307,57.48774405710152,160.55839734651113,383.0,60.0,0.0954666666666666,inf,504294.0027482258,1032289823.6256182,2.342220669881028,1.15966796875,0.518798828125,1.0132780319301846
107146.08050278034,327.3318256961436,575337.1337450697,153.42323566535194,6.329931264308083,176354.0373913991,47.02774330437309,83.32292968767062,475.0,41.0,0.0314666666666666,inf,98143.164376024,200899057.47772112,3.325528325721408,2.105712890625,1.3427734375,1.2849396096411427
11087.991217502004,105.30057418870103,268887.65154870844,71.70337374632226,4.997435388297563,108043.81303500044,28.81168347600012,39.978532639364126,536.0,0.0,0.004,inf,10156.703455418456,20790771.973241583,4.496007660144153,2.288818359375,1.220703125,1.5295717543732328
8872.958504808388,94.19814163865016,256749.74786275253,68.46659943006735,5.037575080761901,89780.14971342849,23.941373256914265,32.67021760008151,419.0,0.0,0.0,inf,8127.986025491567,16637987.394181237,3.868464005430426,1.64794921875,0.67138671875,1.3709949492513271
7194.02376013008,84.82143198598857,234798.38267930495,62.61290204781466,4.907734285622784,83390.27142726531,22.237405713937417,30.48460380703405,435.0,0.0,0.0,inf,6590.6861101101895,13491134.467395555,4.023351576800614,1.556396484375,1.220703125,1.4320061455147122
4324.649493502719,65.76218516339632,185214.16840426825,49.390444907804856,4.462740230916327,71140.46772871562,18.970791394324166,26.38143427434401,462.0,0.0,0.0,inf,3961.295960216148,8108772.830562455,4.731067969563832,1.617431640625,1.190185546875,1.4973048556433128
7015.725116702608,83.76080417130157,222915.8340035996,59.4442224009599,4.7163498551139975,83887.08776897124,22.369890071725663,44.19825769989495,446.0,9.0,0.0018666666666666,inf,6426.484178565743,13155013.113524076,5.465248589969192,1.922607421875,1.129150390625,1.6760179136260058
15137.270280073286,123.03361444379932,280554.80640728475,74.8146150419426,4.948088771676497,75804.1511911303,20.214440317634747,37.32382181257422,363.0,5.0,0.0114666666666666,inf,13865.355018864382,28382381.72361539,2.6284042812538884,1.0986328125,0.6103515625,0.9363684234345327
13638.324157408637,116.78325831262552,260763.13698825196,69.53683653020052,4.758318871977859,75568.03448941371,20.15147586384365,27.91223813153745,435.0,0.0,0.0101333333333333,inf,12492.36749661558,25571876.26557209,2.301654912717748,1.129150390625,0.9765625,0.7885819611955092
3140.349815009557,56.039492171175375,160186.04950004042,42.716279866677446,4.229174607861795,54004.715475010686,14.40125746000285,20.60951453324236,368.0,0.0,0.0,inf,2876.6119947747643,5888424.753303942,4.265393516525553,1.708984375,1.15966796875,1.4147260742669392
2455.581255466494,49.55465194406656,143840.39643890463,38.357439050374566,4.056220573124366,50415.19591602724,13.44405224427393,19.080670066276497,350.0,0.0,0.0,inf,2249.394166152596,4604509.858114364,4.608958821077044,2.197265625,1.0986328125,1.4823424137640084
2636.2225646807974,51.34566291292316,149653.6952777402,39.90765207406405,4.111089664909526,55926.73856733077,14.913796951288203,20.560690599755123,390.0,0.0,0.0,inf,2414.9839107342045,4943472.065272917,4.72209362838441,2.166748046875,1.129150390625,1.5272322294425622
3106.232248166628,55.73486003588217,162119.45034328656,43.23185342487642,4.254617903827265,52789.959335829306,14.07732248955448,19.99449247388484,328.0,0.0,0.0,inf,2845.4796295588403,5824696.801706946,4.177620028409366,1.373291015625,1.129150390625,1.4368749087134427
2683.689566666856,51.804759135546895,153174.40403212002,40.84650774189867,4.219079523030482,51177.67631886958,13.647380351698551,19.46806944872348,318.0,0.0,0.0,inf,2458.2677325718,5032074.048574474,4.417469450235473,2.0751953125,1.220703125,1.4370104800138446
4554.867121034912,67.48993997632314,193561.39140617548,51.6163710416468,4.590855935154605,67469.15979324523,17.991775944865395,25.43341393508542,358.0,0.0,0.0,inf,4172.1862024681295,8540465.15645226,3.89508263792143,1.373291015625,1.190185546875,1.3202814245412262
4157.273013512994,64.47697149382557,182812.5349568774,48.75000932183398,4.4758121395107375,57809.36671647322,15.415831124392858,23.319410014042163,348.0,0.0,0.0,inf,3807.968308042341,7794911.126562672,4.0241086503930505,1.434326171875,1.220703125,1.3421913862461128
3991.009077925607,63.17461903305935,183087.0545535352,48.82321454760939,4.507105905369697,52702.8971339125,14.054105902376666,20.41019197559869,323.0,0.0,0.0,inf,3655.703797895464,7483225.674292015,3.754320161891672,1.434326171875,1.0986328125,1.296433605253002
4208.829210035881,64.87682959298687,189340.64642505697,50.490839046681856,4.627533462173488,56250.85955141537,15.000229213710766,21.615581227190763,307.0,0.0,0.0,inf,3855.484842902329,7892177.473421068,3.800982820541908,1.46484375,1.190185546875,1.3255992983808953
2716.032247206498,52.12118937711004,154476.53494757685,41.19374265268716,4.27988627982402,47826.31825628897,12.753684868343726,18.224306814386505,283.0,0.0,0.0,inf,2488.8449307790816,5094665.57330478,4.151403346794476,2.105712890625,1.129150390625,1.3805601160197534
3014.8117212800757,54.907403448378666,162177.36296308774,43.24729679015673,4.32923258411572,52094.6739735216,13.89191305960576,19.37341136985765,341.0,0.0,0.0,inf,2761.510230272802,5652811.441368425,4.064527027692083,1.678466796875,1.129150390625,1.369820258909365
4810.42150759316,69.35811382750829,196807.4937718836,52.48199833916896,4.588490005522926,62327.90863333258,16.620775635555354,29.849759757550835,345.0,4.0,0.0005333333333333,inf,4406.445707323263,9019994.36289072,4.36689753350952,1.312255859375,1.15966796875,1.4281910141742726
