,bandPower(){}_0_delta,bandPower(){}_0_theta,bandPower(){}_0_alpha,bandPower(){}_0_beta,bandPower(){}_1_delta,bandPower(){}_1_theta,bandPower(){}_1_alpha,bandPower(){}_1_beta,bandPower(){}_2_delta,bandPower(){}_2_theta,bandPower(){}_2_alpha,bandPower(){}_2_beta,hjorthActivity(){}_0,hjorthActivity(){}_1,hjorthActivity(){}_2,hjorthMobility(){}_0,hjorthMobility(){}_1,hjorthMobility(){}_2,hjorthComplexity(){}_0,hjorthComplexity(){}_1,hjorthComplexity(){}_2,sampEn(){}_0,sampEn(){}_1,sampEn(){}_2,DFA(){}_0,DFA(){}_1,DFA(){}_2,PFD(){}_0,PFD(){}_1,PFD(){}_2,LZC(){}_0,LZC(){}_1,LZC(){}_2,HFD(){}_0,HFD(){}_1,HFD(){}_2,ApEnt0,SaEnt0,Sh_Ent0,fuzzy0,Multiscale0,Sp_ent0,wave_ent0,EEG_mean0,EEG_std0,EEG_kurt0,EEG_var0,EEG_skew0,ApEnt1,SaEnt1,Sh_Ent1,fuzzy1,Multiscale1,Sp_ent1,wave_ent1,EEG_mean1,EEG_std1,EEG_kurt1,EEG_var1,EEG_skew1,ApEnt2,SaEnt2,Sh_Ent2,fuzzy2,Multiscale2,Sp_ent2,wave_ent2,EEG_mean2,EEG_std2,EEG_kurt2,EEG_var2,EEG_skew2
44,453.09147487710464,38.80217023215193,10.369298071926764,25.910333563510157,474.6109014367935,42.02120955875509,22.01808517954293,50.148295909234065,285.9210438280313,50.485185314843704,17.054723183832863,44.9435394031971,1.659893603208406,1.9094258921877245,0.6996067712120148,0.08220138075131415,0.07028433493894934,0.10865597019849924,2.971398569034869,4.852749094240181,3.5941034144444393,0.027668332446175777,0.07776105156777964,0.14405191627385594,1.2647440923560789,1.2347806008591153,1.1661591067865436,1.0140783607714907,1.0140107379045875,1.0147305389485486,0.3189155169533891,0.3011979882337564,0.3698534120223332,1.7992062860985165,1.8368515009951114,1.8598174028772558,0.48230910586107223,0.4230163409373376,12.45763738099176,0.3327230420302214,0.2727846688846332,7.126734049408795,1.3201932897007227,-0.3298123913664588,1207.4456709001963,39.946281399849866,1457925.048175625,-2.4019125069621023,0.3505095420141393,0.28950095989905644,12.45763738099176,0.2656092879467785,0.20566077315020162,6.786573999327094,1.3516918694751945,-7.726498794425765,1676.3431764970942,24.899708730995552,2810126.445388368,-0.7221125896702508,0.07055584241601331,0.02455697641181584,12.45763738099176,0.09235377942796968,0.1235283680472149,6.9249464260070175,1.3429644923355457,19.604501588780607,7871.191380232948,34.01141227636989,61955653.744253464,0.8875381771860189
45,960.6972772445239,160.17969417683076,29.533137980847243,78.21328727651563,783.6708312548906,117.07864277173962,31.35887244012944,100.1844790883255,806.0829389097836,161.43866492124886,35.10348155651785,145.21110387653,6.830277366177456,2.8558285116024726,4.042133248701386,0.06651451874239785,0.08928345087511097,0.09424932229327816,5.726623468693697,5.860594570866217,6.840011096461194,0.023212884233951906,0.07782362183490574,0.051710057609773555,1.3191120911313237,1.2553307196391064,1.2726283783806418,1.0125762356478953,1.0126065726483255,1.0133328874586314,0.26133354861458274,0.22368380008536318,0.2989832971438023,1.792037408990272,1.887859237474071,1.8463198541027541,0.15337267754683648,0.09186927811030904,12.45763738099176,0.15031250399558924,0.16783763409555652,5.8806508207484685,1.3862799009896136,7.048564214987209,3440.5584663856525,16.899317878225993,11837442.560617995,-0.3326956473277154,0.16811651028816565,0.11476442414716104,12.45763738099176,0.1573001520758439,0.18111493524224337,5.943261041825389,1.3862719011294127,14.322983958268084,3495.9464922018155,17.41610026815391,12221641.87633818,-0.1581699233409053,0.0803250946960532,0.0227308902671767,12.45763738099176,0.07600930716995166,0.1447307766180639,6.3458232104357615,1.3862905901589055,20.51586532294533,13753.081311323616,26.499037929428066,189147245.55587894,-0.605753322010997
46,32.637683145298425,7.8139701306903,7.685679047396773,24.975953909671382,71.66404988148801,17.059465578199443,17.29992224809459,49.541329749600585,77.21373113012164,17.953722992577987,15.121977407082515,46.34989493227724,0.07166056484259914,0.24835469459964754,0.29531352758177287,0.23453232970700047,0.16714137922190558,0.23624211745928037,3.8120528759507533,5.111667232281593,3.773598845353895,0.31723539908232934,0.3109713035305701,0.2718997456612249,1.1482765638324475,1.1469928876524158,1.1394864728573235,1.0147380194025293,1.0142585449298833,1.0147828945899005,0.2657629307944909,0.27905107733421547,0.3189155169533891,2.0507430139745644,2.04860536493062,2.0403885126586014,0.7042534163841263,0.6450147903378861,12.45763738099176,0.4577219503302716,0.3793987975044046,7.661157846634867,1.3823202779139696,5.834686464558656,780.9828547612495,45.8890243909678,609934.219431031,-0.757371533012664,0.6321756202000768,0.5739063762476574,12.45763738099176,0.41439361086767634,0.31139589506236476,7.951995190854504,1.3829713121476712,9.482221665741548,940.8932411140863,68.01516881004846,885280.0911741703,2.552797966032528,0.4743004072894541,0.41608394498807305,12.45763738099176,0.32772731105144787,0.14356236036964262,6.600417725992726,1.3624827163295365,-19.296791688175094,1521.4611431132582,21.425574168695967,2314844.0100035025,0.04702812616909135
47,286.4163866851279,59.02861566178212,38.49658627905293,147.28480215598378,429.7908389799047,61.007396464087584,49.14390630459277,165.14865501534774,233.0374251942951,123.83988105377941,73.5021869995529,301.42193529348276,1.5991269056266193,1.1373300712394936,0.7729313260547455,0.07456342587033157,0.10167861416799694,0.18875855024058497,9.567448012211235,7.013477299475521,4.393803218135323,0.046389076682545154,0.11967172283277244,0.14508269286298234,1.3124908976646903,1.2085791969919282,1.1689122111331305,1.0134083502820266,1.0137248946917374,1.014431025984623,0.24361601989495,0.29233922387394,0.3388477367629759,1.8388206145577881,1.8827775064530605,1.8992991247005797,0.13143701334177083,0.060024805879003086,12.45763738099176,0.12190089380568651,0.1450920507120205,5.571440390692411,1.3862877252906811,-2.8803175820155467,4636.3808039121695,21.684670901016307,21496026.958885252,0.4883887934906306,0.13896156284194006,0.0682944008972034,12.45763738099176,0.1249304070689136,0.15131636859410127,5.581670270404112,1.3862745978628903,1.2640995966699258,4794.3589675682715,20.419010217505296,22985877.9099023,0.42473501537592195,0.21661846874543667,0.14386050117662086,12.45763738099176,0.18582087730147748,0.1766381597121099,5.911892844373797,1.3862078058485088,-17.829772621483876,3411.995043518804,16.02298679971657,11641710.176996883,-0.2901247241068313
48,211.87761224659022,37.3231655343382,17.649410050908315,32.52239058514558,191.04895890892033,38.95060873059219,23.555265219789565,55.95592433827572,240.08622869922402,53.06218991579789,31.75726350391175,58.31646297633384,0.47346749862855464,0.27727969296575233,0.267448548331049,0.06801616210486014,0.10313304104003042,0.12316134908700255,6.6530282293854,5.922214206693691,4.853931659437392,0.11629743928767515,0.300954655656717,0.2937238214393161,1.2571981042819438,1.1715558706294549,1.0878762404231428,1.0117853826936807,1.013596847201555,1.0138754039518878,0.21482503572554681,0.28569515060407774,0.32998897240315955,1.9050225541740566,1.9286128876603952,1.9238667394864213,0.38183673447144617,0.2768138126721138,12.45763738099176,0.26145017517987884,0.32082240683032903,5.581292055424182,1.3862421106934864,15.96730306403567,1727.4426900356018,3.3635679746642637,2984058.247357436,-0.2948459811706669,0.3206048966858499,0.2156532591501682,12.45763738099176,0.22745444772708207,0.29366590282688976,5.6524612672961965,1.3862659490148108,7.10376553743329,2269.802312082115,5.599985976342607,5152002.535933314,-0.2881359398010415,0.4398612465946168,0.34971937142726595,12.45763738099176,0.2972715318162022,0.3714917718932696,5.528725728265242,1.3862022290804903,-9.139084148722796,1839.1872590397254,4.17521819080089,3382609.7738140584,-0.08980417920734377
49,101.41906571888357,17.64461664956441,19.207973051105938,83.82715733995624,115.31449995892143,28.001525927207688,22.65915690602631,89.06469673478807,104.86766604706915,34.06640600842285,37.70662389887036,170.72694432496655,0.19012866938761772,0.11139051890345593,0.13589150547920698,0.10373315744568455,0.15630764071623687,0.2197637745845635,7.197083553110046,4.935519450460945,3.8174525561548087,0.174194219513132,0.4528763544489752,0.41158230547113195,1.2518642879366582,1.1401089981529355,1.0836990566872031,1.0130004148783553,1.0142660480797232,1.0145808544271047,0.2414013288049959,0.33441835458306773,0.3853562496520118,1.998658037866576,2.0342574470020325,2.128514738286315,0.5040918674328894,0.42504950298307687,12.45763738099176,0.3328178310565122,0.2820407347747062,6.1033753479253745,1.3859094239962442,15.680539721273824,1153.0177820981585,5.00556115935114,1329450.0058345564,-0.3081349604512694,0.46301154640638487,0.37891249143522754,12.45763738099176,0.31120805970966264,0.29747925197379715,5.92838633994756,1.3860309357848624,-23.925152928191523,1326.7557756861584,4.99277881973316,1760280.8883165796,-0.31457298273274553,0.5611394151350115,0.4872252880278681,12.45763738099176,0.3681352629318203,0.3184802991183356,5.9770901074812315,1.3858794458692376,-9.705507002664504,1288.8611184071665,4.386813725124024,1661162.982541772,0.1564587846010522
50,405.1892782911676,48.493216648313904,27.707342009623197,122.2237586702949,391.93887049724844,87.12284964904879,50.42100465525708,177.9023644677104,424.13494103344885,82.92716221849761,56.9905176731813,248.06271817603368,1.9381783903474883,0.9599284624809321,0.7713624876593995,0.08652755298026142,0.16467403952131282,0.25628970936746165,8.788484307810885,5.006909478352878,3.3362631546833748,0.06870212122527564,0.14557339314397305,0.16656514554237214,1.3155879255555327,1.210793205321928,1.1227948707423456,1.0111206870148914,1.0134158945493508,1.0135214758600173,0.1727459050164191,0.28569515060407774,0.3432771189428841,1.8713888749217051,1.9152813497040166,1.9369961773725655,0.17892101361353396,0.09559112511977039,12.45763738099176,0.14003074020814543,0.21373294198845236,5.941985436349927,1.3862105501257265,11.478096904040006,4341.596131240592,20.204166823709322,18849456.966803275,-1.173045225300317,0.16710210686609162,0.09189738454277843,12.45763738099176,0.13440299426630897,0.21448639003761252,5.983073138200205,1.3861991635422368,-10.748931087468796,4747.0998558123065,23.135795319235903,22534957.041053217,-1.559329035607619,0.24066313978232445,0.1629586761313365,12.45763738099176,0.1843431795431611,0.24692509823268913,6.102731746375564,1.385795172724261,-19.891199893678326,3507.251312824444,7.73682177244036,12300811.771308787,0.1257206859584086
51,176.20423296882282,48.910761362145166,45.35018729559465,196.87406931381602,219.84888092343056,73.43895082896216,64.26054288234437,273.3111901303362,205.27084942750588,82.10025071886477,89.75489112200503,407.4134615404296,1.1075500261154898,1.6088089749957473,2.0225577904828405,0.38654925153079894,0.4248799420418425,0.5667160285506019,2.2916657166989975,2.082069812163363,1.5714628727129534,0.135278310450117,0.14776411797202982,0.10609593003397563,1.0985453338522473,1.0444431079298764,0.9285107021742136,1.0115106824395763,1.0134083502820266,1.0138453137476018,0.18824874264609773,0.27905107733421547,0.32777428131320546,2.1745149672056425,2.215799289206971,2.2831584509575396,0.24467611799980116,0.13541068075716597,12.45763738099176,0.16768179211375833,0.2239054582245747,8.917206442318307,1.3585651811503838,13.254580795579338,4085.7980212443586,27.20898120683246,16693745.470404316,0.39879384538564927,0.21597144895091702,0.12835065925446534,12.45763738099176,0.15662601101742385,0.20739940008657187,9.415470235812275,1.337662284530479,14.727282923367513,4283.260078935635,38.58204889287139,18346316.9038037,0.3894474606775548,0.2515015189684937,0.15581327688110858,12.45763738099176,0.1840919017099657,0.18181487084028664,9.667459484831108,1.3254675629792114,-18.243752176345136,4332.827473956358,43.73982353883066,18773393.91907103,-0.3634019300241055
52,121.23329450033745,87.88248531760041,73.63808659094919,342.6313308842341,146.14048875140236,112.11180025802345,92.14055775053951,460.75873557571026,190.64869353789402,163.94450361643584,142.97090874756213,685.3666814341273,0.9725494853437975,1.4762052523950089,1.891244926742155,0.3958733735765119,0.4233109742727431,0.5583571569033813,2.237260812652974,2.0883657532519435,1.5932176427020905,0.07929053304731411,0.11338860426305757,0.07598583853300163,1.0799569095715311,1.0489106616304615,0.9518114553620064,1.0135893117114754,1.0137625356621758,1.0145733664258123,0.2768363862442614,0.31227144368352683,0.35656526548260864,1.9963178352149709,1.9938071184877841,1.9963464139802827,0.19580771860582624,0.09056879151820692,12.45763738099176,0.1546289113257691,0.04865650574606617,8.874790721401578,1.351824248370411,-34.27937053914219,3920.082578081726,32.09870870867703,15367047.41897987,0.4615030980055769,0.1623262056949506,0.08361201570904639,12.45763738099176,0.14508647299122662,0.03960777888771131,9.486973200480403,1.3194460839604252,-12.924664386868242,4054.872586267669,47.90188977630994,16441991.690865053,0.4791357510416625,0.2033629756097557,0.11675147105345166,12.45763738099176,0.17466134739862105,0.05129825316315541,9.713722782463707,1.3041263421596079,16.222185357469073,4083.035194639021,54.98332242155331,16671176.40066091,-0.5189112127437459
53,76.64400057079942,26.79287883809846,33.08987581044752,144.18938635855147,140.24077825808664,43.420859357656354,48.542341781256795,216.66691371498717,136.87890655500752,53.48935745622735,68.90655425941891,290.48435572187964,0.11982843847343934,0.29104851341081706,0.2149377208667638,0.25486229175215075,0.24842015073226548,0.3795100454368082,3.518209401857563,3.5709826928025152,2.380947243103135,0.2642478963693335,0.3209017751141978,0.3565728989149484,1.1942963200895387,1.1547581029048,1.095655549181266,1.0145359210208897,1.0143260602672268,1.0149099708561211,0.28348045951412365,0.30562737041366456,0.32998897240315955,2.010315074065249,1.9949284329681165,1.9937482350930535,0.5331033957330029,0.45049778469313917,12.45763738099176,0.34691857505749263,0.3546899318558356,7.068084352479872,1.379849102814505,-20.373422017656093,1192.21867638442,17.986883803159884,1421385.372319818,0.057653533568373765,0.546432913503343,0.47417678594291324,12.45763738099176,0.3590316151057922,0.3115522194210443,7.668370593750431,1.3741126740916552,3.1177457603315237,1167.4321917025497,30.022210685356654,1362897.922223419,-0.19817408417127935,0.628093773991814,0.5567528190832645,12.45763738099176,0.4085117530329491,0.37902467471174855,7.983572625831002,1.3663661344117517,23.84671389849228,1193.0831877892028,38.506697991880294,1423447.4929852465,-0.010672081585472936
