,mean_nni,cvnni,cvsd,max_hr,mean_hr,median_nni,min_hr,nni_20,nni_50,pnni_20,pnni_50,range_nni,rmssd,fuzzy,sdnn,sdsd,std_hr,lf,hf,lf_hf_ratio,lfnu,total_power,vlf,csi,cvi
157,864.8571428571429,0.10680323390184816,0.11186482505072318,86.20689655172414,70.13902459874667,866.0,59.523809523809526,13.0,10.0,100.0,76.92307692307692,312.0,96.74709297958259,92.36953972025555,96.72311485237415,7.467739205457037,2244.29519668185,3187.1965045382576,0.7041596567661241,41.3200520250763,58.67994797492371,5698.843513327958,267.3518121078502,1.5386362344232272,5.096048597004352
158,866.8571428571429,0.1092323564920932,0.10041303378800341,86.20689655172414,70.01974794545346,876.0,60.483870967741936,12.0,8.0,92.3076923076923,61.53846153846154,296.0,87.0437555750864,94.6888484562888,87.04158021538058,7.682497696285273,4298.8115559991475,1309.528835273995,3.282716226023156,76.65033247069512,23.349667529304874,6977.293839662789,1368.9534483896464,1.8356479522754026,5.081095021251895
159,822.7692307692307,0.078876980293398,0.09134174456422109,86.20689655172414,73.35441817474907,824.0,63.02521008403362,11.0,8.0,91.66666666666667,66.66666666666667,256.0,75.15317691222374,64.89755240139884,74.48489779814429,5.70793800299621,1165.970523365272,1202.6214627670884,0.969524126637914,49.226313784383294,50.77368621561672,2600.0915461272307,231.4995599948701,1.335478373639389,4.810651859854416
160,859.7142857142857,0.07886336829462112,0.10532621701089731,78.125,70.15261914422618,838.0,56.81818181818182,11.0,7.0,84.61538461538461,53.84615384615385,288.0,90.55045342451143,67.79996434243284,90.55045342451143,4.792369283361684,1224.8190712378178,328.6129975862353,3.727238667473578,78.84600143249295,21.15399856750705,1916.0183881462326,362.5863193221796,1.034420050832794,4.866330282120124
161,852.0,0.08693805023496348,0.08689194148060114,81.52173913043478,70.8899777394514,840.0,58.59375,10.0,5.0,90.9090909090909,45.45454545454545,288.0,74.03193414147218,74.07121880018889,69.24766905406626,5.654484886240558,497.14879190729056,1225.6816797079937,0.40561003736772117,28.856512587751936,71.14348741224806,1735.7448384106883,12.914366795403978,1.7778076510468992,4.875177761455775
162,851.2,0.08774167276408673,0.12153611993277458,79.7872340425532,70.94512478823692,852.0,58.59375,7.0,5.0,77.77777777777777,55.55555555555556,272.0,103.45154528677773,74.68571185679063,102.34195885955026,5.516758988645423,968.7105085354486,3607.7621598453247,0.26850730885679563,21.16718658079943,78.83281341920058,4751.803956150285,175.33128776951125,0.9452737946072948,4.949907578269266
163,814.1538461538462,0.08835835508468325,0.09952264542962985,79.7872340425532,74.15552406489961,792.0,58.59375,6.0,3.0,50.0,25.0,272.0,81.02674455593865,71.93729463202212,81.002057587035,5.43796978116743,1175.4726833338202,1343.3003002966293,0.8750632178629386,46.6684648030306,53.33153519696939,2586.516512013044,67.74352838259493,1.3754738694764705,4.896322993831417
164,842.1333333333333,0.08370406797792745,0.06301377055773401,79.7872340425532,71.7077614643164,808.0,63.559322033898304,5.0,3.0,35.714285714285715,21.428571428571427,192.0,53.0659966456864,70.48998577981197,52.86872459986458,5.698082362427831,3216.4655576871946,1914.4203954369873,1.6801249951962622,62.6883073814708,37.31169261852921,5370.2586341482875,239.37268102410536,2.3670373980175525,4.755877457288733
165,848.0,0.09585145649144626,0.10462770289065489,79.7872340425532,71.33678228136647,836.0,58.59375,9.0,5.0,69.23076923076923,38.46153846153846,272.0,88.72429205127534,81.28203510474643,88.55125884925062,6.328872204620047,2498.796062369348,451.5384710086312,5.533960499063618,84.69534671745706,15.304653282542954,3565.238333702482,614.9038003245031,1.4529219951408496,4.99448387070376
166,842.0,0.08739026916915472,0.059029832083644915,79.7872340425532,71.74418607981463,828.0,59.05511811023622,10.0,4.0,66.66666666666667,26.666666666666668,264.0,49.703118614429016,73.58260664042828,46.872688091135636,5.758076508120822,1684.8474312898359,612.9462938357581,2.748768445512942,73.32457273542884,26.675427264571166,2698.6787829420973,400.8850578165034,2.863636550456845,4.731810828313536
167,794.2857142857143,0.06741185261406586,0.07221227759624253,88.23529411764706,75.86149327659565,782.0,66.96428571428571,8.0,4.0,61.53846153846154,30.76923076923077,216.0,57.35718049072979,53.5442715048866,57.25723126858632,4.983040765632084,1555.6770666947018,1393.3508146797844,1.1165006330815708,52.75219934406419,47.24780065593581,3190.363836303799,241.33595492931275,1.4929715919354625,4.627564324244764
168,836.0,0.09854859142440452,0.10477874134390329,88.23529411764706,72.44158134217429,868.0,63.02521008403362,5.0,5.0,55.55555555555556,55.55555555555556,272.0,87.59502776350315,82.38662243080218,87.59051755431122,7.2152902473155756,1950.0210015049252,4690.227905249498,0.4157625260218977,29.366685328939628,70.63331467106038,6713.05664832241,72.80774156798782,1.4647945483927187,5.004933409411305
169,866.8571428571429,0.11369932966816307,0.13366365964191565,100.0,70.22117661734329,868.0,58.13953488372093,10.0,8.0,76.92307692307692,61.53846153846154,432.0,115.8672981010206,98.56107606091622,115.14436526409361,9.356860765214146,526.9789746290229,992.0932307910775,0.5311788834692676,34.69084436860501,65.30915563139497,1524.590986061364,5.5187806412636,1.3058903062592517,5.176244171468577
170,915.2,0.07697414524960411,0.07279802089861127,77.31958762886597,65.92655245788218,904.0,58.13953488372093,12.0,9.0,85.71428571428571,64.28571428571429,256.0,66.62474872640904,70.44673773243768,66.56345752401252,4.959533778752743,2972.564665015495,1739.808028166824,1.7085590001257693,63.079999366690345,36.92000063330967,4917.927318556719,205.55462537440027,1.7777251140650756,4.831611023229977
171,932.0,0.11897484479718917,0.1441446834656366,79.7872340425532,65.24728463874035,936.0,52.44755244755245,12.0,9.0,92.3076923076923,69.23076923076923,392.0,134.34284498997332,110.8845553509803,133.65893183462,7.653023087500124,1464.416069515657,2046.3721871750936,0.7156157021158523,41.71188811301333,58.28811188698667,3632.571559339674,121.78330264892328,1.241462983236278,5.283781840033807
172,977.0,0.09673104976656534,0.07980998439966398,75.75757575757575,61.97145750901849,1000.0,55.97014925373134,6.0,3.0,85.71428571428571,42.857142857142854,280.0,77.9743547584717,94.50623562193434,74.18894796396563,6.20285007678136,1635.0536532175418,701.5202202684541,2.3307291878085112,69.97654436571106,30.023455634288915,2975.1788624454407,638.604988959445,2.1362578336979996,5.040368870147828
