mean_nni,cvnni,cvsd,max_hr,mean_hr,median_nni,min_hr,nni_20,nni_50,pnni_20,pnni_50,range_nni,rmssd,fuzzy,sdnn,sdsd,std_hr,lf,hf,lf_hf_ratio,lfnu,total_power,vlf,csi,cvi
525.7142857142857,0.06901959941907629,0.10542917959114906,117.1875,114.54417293233084,512.0,98.6842105263158,2.0,2.0,33.333333333333336,33.333333333333336,96.0,55.42562584220407,36.284589408885815,55.42562584220407,6.474802539076773,55.103587117167756,321.3047609979415,0.17149944167033612,14.639310576692244,85.36068942330776,387.93603822567627,11.527690110566997,0.6546536707079773,4.285704051751746
460.9230769230769,0.47971837005037515,0.6016841899909703,170.45454545454547,148.48156079984327,352.0,57.69230769230769,4.0,4.0,33.333333333333336,33.333333333333336,688.0,277.3301281866072,221.11326718014215,275.97987044146697,40.59114360012879,4970.078465214605,8283.49173671411,0.5999979988132556,37.49992182854503,62.50007817145497,13764.06255625597,510.49235432725584,1.1634747607690177,5.888390327328435
464.57142857142856,0.3881355637284352,0.4336980596786459,168.53932584269663,143.7820975972216,356.0,73.52941176470588,6.0,6.0,46.15384615384615,46.15384615384615,460.0,201.48372715356518,180.3166933206959,201.48372715356518,39.250271031756654,6419.587594762774,25736.7881672429,0.24943235158353808,19.963653995945123,80.03634600405488,32515.95831668935,359.5825546836784,1.3990217996250625,5.692156527135631
421.2,0.2763602325938984,0.34875327225565955,159.5744680851064,149.15886146716144,376.0,74.25742574257426,5.0,5.0,26.31578947368421,26.31578947368421,432.0,146.8948782740838,116.40292996855001,145.12457157297047,25.179945416395423,906.9073099236863,1579.932829412025,0.5740163714815607,36.46825928127173,63.53174071872828,2566.7169076621285,79.87676832641716,1.199145584923131,5.328924896930762
438.5882352941176,0.2903622110833776,0.42901175102404376,156.25,144.1779177505821,384.0,73.52941176470588,5.0,5.0,31.25,31.25,432.0,188.1595068020747,127.34944975515667,187.59997334754607,26.435804754228165,1735.1558396521245,1844.293370876065,0.9408242024032768,48.47549825678577,51.52450174321422,4006.9807377674415,427.53152723925206,0.8532667710153945,5.408669088398896
544.5333333333333,0.25576116596728826,0.3640828478200599,129.31034482758622,115.27004517489193,464.0,63.02521008403362,9.0,9.0,64.28571428571429,64.28571428571429,488.0,198.25524673294993,139.27048024138736,198.25524673294993,21.083716936648344,1070.1095059904412,2105.2738298921677,0.5082994386745654,33.700167595450345,66.29983240454965,3539.7798826007415,364.3965467181325,0.9126458157745461,5.490026316471133
432.2857142857143,0.39380802751564536,0.3859022551253386,172.41379310344828,152.94428092397894,348.0,74.25742574257426,4.0,3.0,30.76923076923077,23.076923076923077,460.0,166.82003200132493,170.237584466049,163.02408432807073,37.432550872607536,1576.3776990712163,5402.869290479943,0.29176676582734523,22.586644396326122,77.41335560367388,7444.575269373332,465.3282798221727,1.7396240295185734,5.6028110303100105
864.8888888888889,0.0657041201403767,0.0709422908491915,78.94736842105263,69.65305843504635,844.0,61.47540983606557,12.0,10.0,70.58823529411765,58.8235294117647,216.0,61.35719910778963,56.826763463632474,61.35719910778963,4.397115704879135,1972.9472099919622,770.3176620695792,2.561212480434799,71.91967607959447,28.08032392040553,2938.036124424302,194.77125236276092,1.4930777092139695,4.679232390066738
446.93333333333334,0.18377531089551036,0.1993233065452275,144.23076923076923,137.3626373626374,416.0,89.28571428571429,3.0,2.0,21.428571428571427,14.285714285714286,256.0,89.08422980528034,82.1353122829001,89.08422980528034,17.555210176447627,2085.1875998412215,7850.1121160268485,0.26562519987250716,20.987666798927908,79.0123332010721,10391.699268835,456.39955296692983,1.4688186179863523,5.001844498294121
444.2105263157895,0.136414245085743,0.1741433708580382,141.50943396226415,136.8683386336133,424.0,96.15384615384616,3.0,3.0,16.666666666666668,16.666666666666668,200.0,77.35631842325486,60.596643606509005,76.55418479662978,13.537226561641718,305.75486097526687,127.08664927865146,2.4058771138490376,70.63898765067647,29.361012349323534,534.6685261818416,101.82701592792326,1.1691817309940566,4.763733463755272
355.6363636363636,0.2577336237903992,0.38228074216560826,182.9268292682927,174.92772741306243,328.0,94.9367088607595,2.0,2.0,20.0,20.0,304.0,135.95293303198721,91.65944875164016,135.95293303198721,25.295381098206185,378.2484462032542,1180.0884355191201,0.32052550878262187,24.272572294200575,75.72742770579943,1642.212283206959,83.87540148458461,0.7977240352174658,5.117477317862123
495.27272727272725,0.2770042122358429,0.4115298840231379,136.36363636363637,126.73988690735104,440.0,68.18181818181819,3.0,3.0,30.0,30.0,440.0,203.81952801436864,137.19263166007926,203.12597076691102,21.425807235111623,1882.6689225186503,10716.52151685047,0.1756791062807437,14.942776931411487,85.0572230685885,13024.785435745955,425.5949963768345,0.8013906160493531,5.468222638033171
468.44444444444446,0.30591628701803597,0.3402538243342565,151.5151515151515,136.48034971564383,396.0,73.52941176470588,6.0,6.0,35.294117647058826,35.294117647058826,420.0,159.39001371035837,143.30478511867108,157.46363341340398,28.38335716263939,396.82660990300406,1799.4823624252208,0.22052264483892353,18.067886390426345,81.93211360957366,2393.574293926008,197.26532159778316,1.4553739594463535,5.486754062476101
721.6,0.1029179454816693,0.10818389629197671,97.40259740259741,83.92828415032842,700.0,72.11538461538461,6.0,5.0,66.66666666666667,55.55555555555556,216.0,78.06549956429039,74.26558945957257,77.81713290040635,8.013341577338668,1462.2759382564095,2633.9885766479174,0.5551565224012247,35.69779082712783,64.30220917287215,4346.600683307572,250.3361684032444,1.496132801982866,4.911363105352413
