,EAR_mean,EAR_std,blinking_rate,blink_duration,MAR_mean,MAR_std,PUC_mean,PUC_std,MOE_mean,MOE_std,vtilt_mean,vtilt_std,htilt_mean,htilt_std
0,0.20948573565421216,0.04472214692813932,25.333333333333332,0.4885964912280702,0.30193207832940666,0.04032762851158569,0.5171651875273287,0.027949736805784442,1.553951941870665,0.6191822395187785,-0.039841497253143635,0.006856048645228458,-0.013852018466978117,0.0046538131652499055
1,0.1952364370422723,0.03894862171932325,20.0,0.6233333333333333,0.301525729257069,0.0489328462428516,0.5126968190883694,0.027012129268802774,1.64850969829949,0.611219267924235,-0.04499001103453334,0.0048013355683111806,-0.015847662640390524,0.004253427008376532
2,0.1976328949094505,0.04045495181407973,36.0,0.4314814814814815,0.28081287979035335,0.027449521193235706,0.5049971659813097,0.027386843047916838,1.514156231095512,0.49972901333133724,-0.03879899470187305,0.00642293376616489,-0.013376605977062778,0.0023445219901023283
3,0.20845995189431152,0.03792169721937607,29.333333333333332,0.3219696969696969,0.26799196820642096,0.011899172075799077,0.5190325243909232,0.028386855471927087,1.352594595174572,0.40006574089604385,-0.039348325804048345,0.005910427953407349,-0.015829117244316425,0.0038053255997257678
4,0.19763199297876158,0.04543346377864075,40.0,0.31555555555555553,0.26398875585210546,0.01097329471610395,0.5155520042251738,0.02987954181132967,1.4362593613475902,0.46989424314281586,-0.04247613274147385,0.004775461820919773,-0.01679181669045373,0.0030378400883536542
5,0.19960498582159955,0.04433606027700593,37.333333333333336,0.9613095238095238,0.2638246252042227,0.013723428755450311,0.5191595466341914,0.030312028202723593,1.4124434925009313,0.44039054925345505,-0.04429195813558716,0.0061102933595973755,-0.017692458270876447,0.0025318647233121667
6,0.2040095603969559,0.037436119882888315,30.666666666666668,0.4391304347826086,0.2653563372682183,0.008632149708970428,0.5242396274441944,0.02542953089077262,1.3664226064337441,0.3769060222437664,-0.043370819680254726,0.0026075904918711023,-0.018713554324651157,0.0016372627263290928
7,0.19782476116162953,0.036313735108327874,21.333333333333332,0.6010416666666667,0.26247196880820445,0.009219992777820166,0.5203242857154747,0.02414691509170916,1.389754557885459,0.3586052252507431,-0.042695347114155645,0.0018921741086460342,-0.0211870692973887,0.002080947541737913
8,0.19102396307144018,0.03676653848816611,25.333333333333332,0.5649122807017544,0.26342678741671044,0.009475037680421104,0.5130685800849719,0.024425306900963378,1.450046031207722,0.3861969457260607,-0.04072054803060984,0.002814382117670386,-0.02073766182832139,0.0018082558525611527
9,0.1970847777079448,0.03530929836085939,28.0,0.40079365079365087,0.2586298890052711,0.009956477963892981,0.5220346881912837,0.025835579551327686,1.368727895576023,0.330488852327072,-0.04404727926891707,0.0038072141048045107,-0.021950143959235214,0.003036310481743498
10,0.21126038401235278,0.0352958712499521,22.666666666666668,0.9872549019607844,0.2558293288483246,0.008872414103849272,0.5366842820016988,0.026739318873542965,1.2577976776295365,0.29050033408949727,-0.04663430061812198,0.00266103792892309,-0.02409491494849871,0.003535448230369771
11,0.2153139025066481,0.03496453845982425,28.0,0.5436507936507935,0.25101594605580846,0.01232392245645425,0.5375413932955596,0.025687785378123003,1.2124422966605357,0.3000261492495916,-0.043667788584199174,0.0038171179332991564,-0.025233417946707266,0.00264137377845716
12,0.2157954467440353,0.03913585941821854,30.666666666666668,0.9978260869565218,0.24805254304516983,0.01272477087628194,0.5341795587740249,0.026888030943725116,1.206147150896507,0.3314533868673532,-0.044347160475121564,0.004565855946760574,-0.022655550398760323,0.002233222555858147
13,0.20223101709204086,0.0408550846935638,30.666666666666668,1.258695652173913,0.25018289160162765,0.013878281207261315,0.5226754742168707,0.03106414080769919,1.3071113999661594,0.36768769194888273,-0.043012511838503416,0.004774378909695999,-0.019886478530587927,0.0027013609078984863
