Sat Sep 30 04:57:02 2023||0.763 0.282 0.590 -0.944 -0.187 0.189
Sat Sep 30 04:57:02 2023||0.755 0.271 0.601 -0.959 -0.192 0.196
Sat Sep 30 04:57:02 2023||0.744 0.248 0.605 -0.948 -0.189 0.202
Sat Sep 30 04:57:02 2023||0.744 0.249 0.599 -0.955 -0.190 0.196
Sat Sep 30 04:57:02 2023||0.751 0.253 0.607 -0.918 -0.193 0.196
Sat Sep 30 04:57:02 2023||0.745 0.272 0.603 -0.945 -0.192 0.185
Sat Sep 30 04:57:02 2023||0.761 0.280 0.597 -0.916 -0.187 0.185
Sat Sep 30 04:57:02 2023||0.763 0.283 0.591 -0.959 -0.182 0.189
Sat Sep 30 04:57:02 2023||0.762 0.278 0.586 -0.956 -0.185 0.191
Sat Sep 30 04:57:03 2023||0.758 0.274 0.595 -0.959 -0.190 0.209
Sat Sep 30 04:57:03 2023||0.758 0.281 0.600 -0.956 -0.194 0.201
Sat Sep 30 04:57:03 2023||0.753 0.293 0.593 -0.945 -0.197 0.194
Sat Sep 30 04:57:03 2023||0.763 0.301 0.584 -0.948 -0.193 0.179
Sat Sep 30 04:57:03 2023||0.762 0.290 0.580 -0.946 -0.183 0.178
Sat Sep 30 04:57:03 2023||0.766 0.286 0.611 -0.965 -0.189 0.188
Sat Sep 30 04:57:03 2023||0.783 0.268 0.582 -0.961 -0.187 0.196
Sat Sep 30 04:57:03 2023||0.762 0.282 0.593 -0.970 -0.192 0.198
Sat Sep 30 04:57:03 2023||0.758 0.298 0.596 -0.954 -0.190 0.193
Sat Sep 30 04:57:03 2023||0.747 0.291 0.597 -0.958 -0.174 0.158
Sat Sep 30 04:57:03 2023||0.751 0.281 0.617 -0.941 -0.184 0.189
Sat Sep 30 04:57:03 2023||0.759 0.278 0.600 -0.965 -0.181 0.200
Sat Sep 30 04:57:04 2023||0.755 0.274 0.607 -0.963 -0.186 0.190
Sat Sep 30 04:57:04 2023||0.750 0.262 0.614 -0.957 -0.194 0.209
Sat Sep 30 04:57:04 2023||0.753 0.272 0.604 -0.951 -0.187 0.194
Sat Sep 30 04:57:04 2023||0.754 0.261 0.609 -0.941 -0.193 0.191
Sat Sep 30 04:57:04 2023||0.746 0.262 0.604 -0.938 -0.185 0.184
Sat Sep 30 04:57:04 2023||0.741 0.266 0.603 -0.914 -0.181 0.188
Sat Sep 30 04:57:04 2023||0.746 0.264 0.604 -0.950 -0.190 0.200
Sat Sep 30 04:57:04 2023||0.752 0.261 0.606 -0.953 -0.190 0.194
Sat Sep 30 04:57:04 2023||0.751 0.259 0.609 -0.960 -0.194 0.210
Sat Sep 30 04:57:04 2023||0.757 0.268 0.607 -0.962 -0.194 0.189
Sat Sep 30 04:57:04 2023||0.741 0.268 0.595 -0.919 -0.200 0.187
Sat Sep 30 04:57:04 2023||0.751 0.271 0.608 -0.944 -0.193 0.197
Sat Sep 30 04:57:04 2023||0.742 0.261 0.592 -0.940 -0.182 0.190
Sat Sep 30 04:57:05 2023||0.749 0.270 0.590 -0.957 -0.183 0.196
Sat Sep 30 04:57:05 2023||0.757 0.275 0.602 -0.949 -0.194 0.198
Sat Sep 30 04:57:05 2023||0.761 0.280 0.605 -0.943 -0.182 0.191
Sat Sep 30 04:57:05 2023||0.747 0.289 0.591 -0.948 -0.185 0.206
Sat Sep 30 04:57:05 2023||0.771 0.296 0.606 -0.940 -0.187 0.194
Sat Sep 30 04:57:05 2023||0.754 0.280 0.580 -0.952 -0.196 0.188
Sat Sep 30 04:57:05 2023||0.746 0.287 0.578 -0.944 -0.185 0.210
Sat Sep 30 04:57:05 2023||0.779 0.277 0.595 -0.954 -0.199 0.179
Sat Sep 30 04:57:05 2023||0.764 0.290 0.575 -0.939 -0.187 0.190
Sat Sep 30 04:57:05 2023||0.765 0.279 0.603 -0.911 -0.191 0.174
Sat Sep 30 04:57:05 2023||0.761 0.292 0.586 -0.955 -0.185 0.185
Sat Sep 30 04:57:05 2023||0.758 0.277 0.575 -0.951 -0.185 0.200
Sat Sep 30 04:57:06 2023||0.779 0.281 0.581 -0.959 -0.190 0.197
Sat Sep 30 04:57:06 2023||0.765 0.279 0.604 -0.954 -0.199 0.179
Sat Sep 30 04:57:06 2023||0.748 0.271 0.584 -0.943 -0.181 0.185
